experiment,image,algo,threads,bw,run,event,value,unit
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,1,l1-dcache-load-misses,1192728729,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,1,cache-misses,1930630,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,1,de_no_dispatch_per_slot.backend_stalls,97346381305,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,2,cycles,28274754297,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,2,instructions,118222267145,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,2,l1-dcache-loads,69298938381,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,2,l1-dcache-load-misses,1192436453,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,2,cache-misses,21216536,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,2,de_no_dispatch_per_slot.backend_stalls,97647427036,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,3,cycles,28345491064,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,3,instructions,118239014878,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,3,l1-dcache-loads,69315497291,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,3,l1-dcache-load-misses,1191503911,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,3,cache-misses,1940307,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,4,20,3,de_no_dispatch_per_slot.backend_stalls,97671712400,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,1,cycles,28476447120,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,1,instructions,118179897944,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,1,l1-dcache-loads,69373704507,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,1,l1-dcache-load-misses,1191641403,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,1,cache-misses,1798679,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,1,de_no_dispatch_per_slot.backend_stalls,98155111432,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,2,cycles,28506593181,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,2,instructions,118146710308,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,2,l1-dcache-loads,69278565339,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,2,l1-dcache-load-misses,1191557108,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,2,cache-misses,1969826,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,2,de_no_dispatch_per_slot.backend_stalls,98074178709,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,3,cycles,29221633599,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,3,instructions,118367616222,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,3,l1-dcache-loads,69371441874,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,3,l1-dcache-load-misses,1194762432,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,3,cache-misses,2135717,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,8,20,3,de_no_dispatch_per_slot.backend_stalls,99285048407,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,1,cycles,28801469496,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,1,instructions,118328965205,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,1,l1-dcache-loads,69525850205,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,1,l1-dcache-load-misses,1192891692,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,1,cache-misses,1894163,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,1,de_no_dispatch_per_slot.backend_stalls,99357620430,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,2,cycles,28832912448,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,2,instructions,118506400359,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,2,l1-dcache-loads,69468163483,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,2,l1-dcache-load-misses,1191600694,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,2,cache-misses,6872600,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,2,de_no_dispatch_per_slot.backend_stalls,99319893734,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,3,cycles,29638210257,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,3,instructions,118254682478,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,3,l1-dcache-loads,69362620960,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,3,l1-dcache-load-misses,1193365714,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,3,cache-misses,18485675,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,12,20,3,de_no_dispatch_per_slot.backend_stalls,101374582610,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,1,cycles,55218037091,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,1,instructions,118399816730,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,1,l1-dcache-loads,68987553357,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,1,l1-dcache-load-misses,1322717775,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,1,cache-misses,2086839,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,1,de_no_dispatch_per_slot.backend_stalls,115950836157,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,2,cycles,55122144768,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,2,instructions,118569215778,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,2,l1-dcache-loads,69006325176,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,2,l1-dcache-load-misses,1310651837,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,2,cache-misses,1788369,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,2,de_no_dispatch_per_slot.backend_stalls,117675758970,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,3,cycles,54122176746,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,3,instructions,118538061632,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,3,l1-dcache-loads,69011564440,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,3,l1-dcache-load-misses,1308633471,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,3,cache-misses,1814387,count
scaling,Images/bsd_124084_200x133.jpg,omp_soa,24,20,3,de_no_dispatch_per_slot.backend_stalls,116148317830,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,1,cycles,101243989525,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,1,instructions,297730844787,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,1,l1-dcache-loads,26112202354,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,1,l1-dcache-load-misses,3280821208,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,1,cache-misses,55858750,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,1,de_no_dispatch_per_slot.backend_stalls,513869119578,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,2,cycles,101073915616,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,2,instructions,297718752148,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,2,l1-dcache-loads,26090800029,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,2,l1-dcache-load-misses,3280224781,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,2,cache-misses,27847326,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,2,de_no_dispatch_per_slot.backend_stalls,514051113650,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,3,cycles,101141353935,count
scaling,Images/bsd_134052_260x174.jpg,omp,1,20,3,instructions,297722159337,count
